,symbol
1597,UXI
1598,EFO
1599,DDG
1600,EMDV
1601,UMDD
1602,TBX
1603,EUDV
1604,MYY
1605,SZK
1606,UCC
1607,PEX
1608,SDD
1609,RXD
1610,EFU
1611,EZJ
1612,UGE
1613,SCC
1614,SPXV
1615,SBB
1616,ALTS
1617,SPXT
1618,EQRR
1619,SPXE
1620,SAA
1621,SPXN
1622,MRGR
1623,SBM
1624,FUT
1625,EMSH
1626,SCOM
1627,XCOM
1628,EUFX
1629,YCOM
1630,LTL
1631,RALS
1632,UJB
1633,CROC
1634,UCOM
1635,SILJ
1636,IPAY
1637,HACK
1638,GAMR
1639,IFLY
1640,BTAL
1641,DIVA
1642,MOM
1643,CHEP
1644,SIZ
1645,RUDQF
1646,DQML
1647,BCNA
1648,QYLD
1649,LSAF
1650,IPO
1651,IPOS
1652,RFCI
1653,RFDA
1654,RFFC
1655,RFUN
1656,HTEC
1657,NERD
1658,RYZZ
1659,LSLT
1660,SXNEMG
1661,SXNNDQ
1662,SXNWDM
1663,SCHF
1664,SCHX
1665,SCHE
1666,SCHO
1667,SCHB
1668,SCHD
1669,SCHH
1670,SCHZ
1671,SCHR
1672,SCHA
1673,FNDX
1674,FNDF
1675,SCHM
1676,SCHP
1677,SCHV
1678,FNDE
1679,SCHG
1680,FNDA
1681,SCHC
1682,FNDC
1683,FNDB
1684,SFY
1685,SFYF
1686,SFYX
1687,GIGE
1688,SPY
1689,XOP
1690,XLF
1691,XLU
1692,XLE
1693,XLP
1694,XLI
1695,XLV
1696,GLD
1697,XLK
1698,JNK
1699,KRE
1700,XLRE
1701,SPYV
1702,XRT
1703,XLB
1704,SJNK
1705,MDYV
1706,XBI
1707,XME
1708,XLY
1709,KBE
1710,XLC
1711,XHB
1712,DIA
1713,SPAB
1714,FEZ
1715,FLRN
1716,BIL
1717,SPTL
1718,GLDM
1719,SPDW
1720,MDY
1721,XES
1722,SPSB
1723,SPIB
1724,CWI
1725,SPLG
1726,SPYG
1727,CWB
1728,SPTS
1729,SRLN
1730,SDY
1731,SPYD
1732,SPEM
1733,EBND
1734,SPTM
1735,TOTL
1736,SLY
1737,SPGM
1738,SPSM
1739,RWX
1740,SPLB
1741,PSK
1742,SPMD
1743,SPMB
1744,BWX
1745,SHM
1746,TFI
1747,GXC
1748,GNR
1749,SPTI
1750,LGLV
1751,KIE
1752,SPIP
1753,SLYV
1754,XTN
1755,SLYG
1756,RWR
1757,MDYG
1758,GMF
1759,HYMB
1760,RWO
1761,EWX
1762,XAR
1763,XSD
1764,DWX
1765,QUS
1766,XPH
1767,ULST
1768,GWX
1769,SMLV
1770,ONEV
1771,DWFI
1772,SPHY
1773,EDIV
1774,XNTK
1775,BWZ
1776,XHS
1777,NANR
1778,INKM
1779,XHE
1780,TIPX
1781,IBND
1782,XSW
1783,SYE
1784,EMTL
1785,WDIV
1786,QEFA
1787,SPYX
1788,STOT
1789,GII
1790,RLY
1791,GAL
1792,WIP
1793,SPBO
1794,EFAX
1795,XLSR
1796,XITK
1797,QEMM
1798,SPEU
1799,XWEB
1800,SHE
1801,XTL
1802,FISR
1803,FITE
1804,MMTM
1805,QWLD
1806,SYG
1807,KCE
1808,ONEO
1809,XTH
1810,ZCAN
1811,ZJPN
1812,LOWC
1813,VLU
1814,DGT
1815,HAIL
1816,ONEY
1817,SPYB
1818,SIMS
1819,EEMX
1820,ZGBR
1821,SYV
1822,ZDEU
1823,SMEZ
1824,GLDW
1825,USUTF
1826,FFIU
1827,PSLV
1828,PHYS
1829,KOMP
1830,ROKT
1831,HNDL
1832,HUSE
1833,HECO
1834,CWAI
1835,SSPY
1836,TBND
1837,CANE
1838,CORN
1839,WEAT
1840,SOYB
1841,TAGS
1842,AWTM
1843,TTTN
1844,TPHD
1845,TPLC
1846,TPAY
1847,TCLD
1848,TUTT
1849,TUTI
1850,MLPI
1851,AMU
1852,MLPQ
1853,MORL
1854,CEFL
1855,WTIU
1856,PFFL
1857,WTID
1858,SMHB
1859,SMHD
1860,UCI
1861,BDCL
1862,BDCS
1863,HDLV
1864,FIHD
1865,DVHL
1866,MLPZ
1867,LRET
1868,FBGX
1869,HOML
1870,FIEE
1871,UAG
1872,LMLP
1873,DJCI
1874,SDYL
1875,DVYL
1876,MLPG
1877,USV
1878,OILX
1879,UBG
1880,FUD
1881,UITB
1882,USVM
1883,ULVM
1884,UIVM
1885,UEVM
1886,USTB
1887,USO
1888,UNG
1889,BNO
1890,USOD
1891,USOU
1892,USCI
1893,CPER
1894,UGA
1895,UNL
1896,USL
1897,BUYN
1898,BUY
1899,SDCI
1900,IVAL
1901,QVAL
1902,GDX
1903,GDXJ
1904,OIH
1905,RSX
1906,SMH
1907,EMLC
1908,MOAT
1909,VNM
1910,ANGL
1911,HYD
1912,PFXF
1913,ITM
1914,FLTR
1915,SHYD
1916,HYEM
1917,REMX
1918,EGPT
1919,MORT
1920,BIZD
1921,PPH
1922,IHY
1923,CNXT
1924,MLN
1925,OUNZ
1926,EMAG
1927,AFK
1928,RTH
1929,XMPT
1930,MOO
1931,ESPO
1932,BBH
1933,IDX
1934,SCIF
1935,KOL
1936,SMB
1937,SLX
1938,FRAK
1939,BRF
1940,YMLP
1941,MOTI
1942,LFEQ
1943,CRAK
1944,PEK
1945,HAP
1946,GOAT
1947,BJK
1948,RAAX
1949,SMOG
1950,GRNB
1951,NLR
1952,DURA
1953,URR
1954,MAAX
1955,RSXJ
1956,CBON
1957,ISRA
1958,EVX
1959,DRR
1960,YMLI
